name,id,type,entry_url,north,south,east,west,url,fields
BBAS_T04.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX1QwNC5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1QwNC5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_T04.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1QwNC5uYw%3D%3D,
BBAS_T03.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX1QwMy5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1QwMy5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_T03.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1QwMy5uYw%3D%3D,
BBAS_P02.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX1AwMi5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1AwMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_P02.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1AwMi5uYw%3D%3D,
BBAS_P01.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX1AwMS5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1AwMS5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_P01.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX1AwMS5uYw%3D%3D,
BBAS_B32.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IzMi5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B32.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMi5uYw%3D%3D,
BBAS_B31.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IzMS5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMS5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B31.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMS5uYw%3D%3D,
BBAS_B30.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IzMC5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMC5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B30.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IzMC5uYw%3D%3D,
BBAS_B29.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IyOS5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyOS5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B29.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyOS5uYw%3D%3D,
BBAS_B28.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IyOC5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyOC5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B28.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyOC5uYw%3D%3D,
BBAS_B27.nc,synth:db8bdbad-6893-4a77-9d12-a9bcb7325b70:L25ldGNkZi9CQkFTX0IyNy5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyNy5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/BBAS_B27.nc?entryid=synth%3Adb8bdbad-6893-4a77-9d12-a9bcb7325b70%3AL25ldGNkZi9CQkFTX0IyNy5uYw%3D%3D,
