name,id,type,entry_url,north,south,east,west,url,fields
FISS2016_F31A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMzFBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMzFBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F31A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMzFBLm5j,
FISS2016_F30A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMzBBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMzBBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F30A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMzBBLm5j,
FISS2016_F29A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjlBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjlBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F29A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjlBLm5j,
FISS2016_F28A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjhBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjhBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F28A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjhBLm5j,
FISS2016_F27A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjdBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjdBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F27A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjdBLm5j,
FISS2016_F26B.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjZCLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjZCLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F26B.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjZCLm5j,
FISS2016_F25A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjVBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjVBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F25A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjVBLm5j,
FISS2016_F23A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjNBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjNBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F23A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjNBLm5j,
FISS2016_F22A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjJBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjJBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F22A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjJBLm5j,
FISS2016_F21A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjFBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjFBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F21A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjFBLm5j,
FISS2016_F20A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMjBBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjBBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F20A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMjBBLm5j,
FISS2016_F19A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMTlBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMTlBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F19A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMTlBLm5j,
FISS2016_F18A.nc,synth:0cb61583-3985-4875-b141-5743e68abe35:L25ldGNkZi9GSVNTMjAxNl9GMThBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMThBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/FISS2016_F18A.nc?entryid=synth%3A0cb61583-3985-4875-b141-5743e68abe35%3AL25ldGNkZi9GSVNTMjAxNl9GMThBLm5j,
