name,id,type,entry_url,north,south,east,west,url,fields
GRADES_IMAGE_R2K.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfUjJLLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfUjJLLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_R2K.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfUjJLLm5j,
GRADES_IMAGE_K2S.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfSzJTLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfSzJTLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_K2S.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfSzJTLm5j,
GRADES_IMAGE_G25.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzI1Lm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI1Lm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G25.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI1Lm5j,
GRADES_IMAGE_G24B.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Qi5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Qi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G24B.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Qi5uYw%3D%3D,
GRADES_IMAGE_G24.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Lm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Lm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G24.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzI0Lm5j,
GRADES_IMAGE_G23.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzIzLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIzLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G23.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIzLm5j,
GRADES_IMAGE_G22.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzIyLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G22.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIyLm5j,
GRADES_IMAGE_G21C.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzIxQy5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIxQy5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G21C.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIxQy5uYw%3D%3D,
GRADES_IMAGE_G21.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzIxLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIxLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G21.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIxLm5j,
GRADES_IMAGE_G20.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzIwLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIwLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G20.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzIwLm5j,
GRADES_IMAGE_G19.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzE5Lm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE5Lm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G19.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE5Lm5j,
GRADES_IMAGE_G18.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzE4Lm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE4Lm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G18.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE4Lm5j,
GRADES_IMAGE_G17.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzE3Lm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE3Lm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G17.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE3Lm5j,
GRADES_IMAGE_G16B.nc,synth:c7ea5697-87e3-4529-a0dd-089a2ed638fb:L25ldGNkZi9HUkFERVNfSU1BR0VfRzE2Qi5uYw==,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE2Qi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/GRADES_IMAGE_G16B.nc?entryid=synth%3Ac7ea5697-87e3-4529-a0dd-089a2ed638fb%3AL25ldGNkZi9HUkFERVNfSU1BR0VfRzE2Qi5uYw%3D%3D,
