name,id,type,entry_url,north,south,east,west,url,fields
ICEGRAV_H03B.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0gwM0IubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0gwM0IubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_H03B.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0gwM0IubmM%3D,
ICEGRAV_G23D.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyM0QubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0QubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G23D.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0QubmM%3D,
ICEGRAV_G23B.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyM0IubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0IubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G23B.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0IubmM%3D,
ICEGRAV_G23A.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyM0EubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0EubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G23A.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyM0EubmM%3D,
ICEGRAV_G22C.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMkMubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkMubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G22C.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkMubmM%3D,
ICEGRAV_G22B.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMkIubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G22B.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkIubmM%3D,
ICEGRAV_G22A.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMkEubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkEubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G22A.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMkEubmM%3D,
ICEGRAV_G21B.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMUIubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMUIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G21B.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMUIubmM%3D,
ICEGRAV_G21A.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMUEubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMUEubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G21A.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMUEubmM%3D,
ICEGRAV_G20A.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cyMEEubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMEEubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G20A.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cyMEEubmM%3D,
ICEGRAV_G19A.nc,synth:c6324118-94a2-4e03-8715-b24b82322a57:L25ldGNkZi9JQ0VHUkFWX0cxOUEubmM=,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cxOUEubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/ICEGRAV_G19A.nc?entryid=synth%3Ac6324118-94a2-4e03-8715-b24b82322a57%3AL25ldGNkZi9JQ0VHUkFWX0cxOUEubmM%3D,
