name,id,type,entry_url,north,south,east,west,url,fields
POLARGAP_P36A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzZBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzZBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P36A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzZBLm5j,
POLARGAP_P35A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzVBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzVBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P35A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzVBLm5j,
POLARGAP_P34A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzRBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzRBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P34A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzRBLm5j,
POLARGAP_P33A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzNBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzNBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P33A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzNBLm5j,
POLARGAP_P32A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzJBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzJBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P32A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzJBLm5j,
POLARGAP_P31A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzFBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzFBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P31A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzFBLm5j,
POLARGAP_P30A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMzBBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzBBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P30A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMzBBLm5j,
POLARGAP_P29A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMjlBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjlBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P29A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjlBLm5j,
POLARGAP_P28A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMjhBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjhBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P28A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjhBLm5j,
POLARGAP_P27A.nc,synth:e8a29fa7-a245-4a04-8b56-098defa134b9:L25ldGNkZi9QT0xBUkdBUF9QMjdBLm5j,file,https://ramadda.data.bas.ac.uk:443/repository/entry/show?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjdBLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://ramadda.data.bas.ac.uk:443/repository/entry/get/POLARGAP_P27A.nc?entryid=synth%3Ae8a29fa7-a245-4a04-8b56-098defa134b9%3AL25ldGNkZi9QT0xBUkdBUF9QMjdBLm5j,
