institution,flight,granule,url
NASA,20121012_03,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_001.nc
NASA,20121012_03,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_002.nc
NASA,20121012_03,003,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_003.nc
NASA,20121012_03,004,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_004.nc
NASA,20121012_03,005,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_005.nc
NASA,20121012_03,006,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_006.nc
NASA,20121012_03,007,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_007.nc
NASA,20121012_03,008,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_008.nc
NASA,20121012_03,009,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_009.nc
NASA,20121012_03,010,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_010.nc
NASA,20121012_03,011,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_011.nc
NASA,20121012_03,012,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_012.nc
NASA,20121012_03,014,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_014.nc
NASA,20121012_03,015,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_015.nc
NASA,20121012_03,016,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_016.nc
NASA,20121012_03,017,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_017.nc
NASA,20121012_03,018,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_018.nc
NASA,20121012_03,019,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_019.nc
NASA,20121012_03,020,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_020.nc
NASA,20121012_03,021,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_021.nc
NASA,20121012_03,022,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_022.nc
NASA,20121012_03,023,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_023.nc
NASA,20121012_03,024,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_024.nc
NASA,20121012_03,025,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_025.nc
NASA,20121012_03,026,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_026.nc
NASA,20121012_03,027,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_027.nc
NASA,20121012_03,028,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_028.nc
NASA,20121012_03,029,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_029.nc
NASA,20121012_03,030,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_030.nc
NASA,20121012_03,031,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_031.nc
NASA,20121012_03,032,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_032.nc
NASA,20121012_03,033,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_033.nc
NASA,20121012_03,034,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_034.nc
NASA,20121012_03,035,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_035.nc
NASA,20121012_03,036,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_036.nc
NASA,20121012_03,037,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_037.nc
NASA,20121012_03,038,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_038.nc
NASA,20121012_03,039,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_039.nc
NASA,20121012_03,040,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_040.nc
NASA,20121012_03,041,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.12/IRMCR1B_20121012_03_041.nc
NASA,20121013_01,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_001.nc
NASA,20121013_01,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_002.nc
NASA,20121013_01,003,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_003.nc
NASA,20121013_01,004,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_004.nc
NASA,20121013_01,005,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_005.nc
NASA,20121013_01,006,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_006.nc
NASA,20121013_01,007,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IRMCR1B.002/2012.10.13/IRMCR1B_20121013_01_007.nc
