institution,flight,segment,granule,url
UTIG,2009.01.02,MCM_JKB1a_BYRD03a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_BYRD03a_000.nc
UTIG,2009.01.02,MCM_JKB1a_BYRD03a,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_BYRD03a_001.nc
UTIG,2009.01.02,MCM_JKB1a_BYRD03a,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_BYRD03a_002.nc
UTIG,2009.01.02,MCM_JKB1a_BYRD03b,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_BYRD03b_001.nc
UTIG,2009.01.02,MCM_JKB1a_BYRD03b,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_BYRD03b_002.nc
UTIG,2009.01.02,MCM_JKB1a_DGC02a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_DGC02a_000.nc
UTIG,2009.01.02,MCM_JKB1a_DGC02a,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_DGC02a_001.nc
UTIG,2009.01.02,MCM_JKB1a_DGT02a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_DGT02a_000.nc
UTIG,2009.01.02,MCM_JKB1a_DGT02a,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_DGT02a_001.nc
UTIG,2009.01.02,MCM_JKB1a_DGT03a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.02/IR1HI1B_2009002_MCM_JKB1a_DGT03a_000.nc
UTIG,2009.01.06,MCM_JKB1a_EDMC01a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_EDMC01a_000.nc
UTIG,2009.01.06,MCM_JKB1a_EDMC01a,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_EDMC01a_001.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_000.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_001.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_002.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,003,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_003.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,004,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_004.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,005,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_005.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,006,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_006.nc
UTIG,2009.01.06,MCM_JKB1a_WLKX01a,007,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.06/IR1HI1B_2009006_MCM_JKB1a_WLKX01a_007.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01a,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01a_000.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_000.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_001.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_002.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,003,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_003.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,004,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_004.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,005,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_005.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,006,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_006.nc
UTIG,2009.01.08,ICP1_JKB1a_F09T01b,007,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.08/IR1HI1B_2009008_ICP1_JKB1a_F09T01b_007.nc
UTIG,2009.01.11,ASB_JKB1a_R21Ea,000,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.11/IR1HI1B_2009011_ASB_JKB1a_R21Ea_000.nc
UTIG,2009.01.11,ASB_JKB1a_R21Ea,001,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.11/IR1HI1B_2009011_ASB_JKB1a_R21Ea_001.nc
UTIG,2009.01.11,ASB_JKB1a_R21Ea,002,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.11/IR1HI1B_2009011_ASB_JKB1a_R21Ea_002.nc
UTIG,2009.01.11,ASB_JKB1a_R21Ea,003,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.11/IR1HI1B_2009011_ASB_JKB1a_R21Ea_003.nc
UTIG,2009.01.11,ASB_JKB1a_R21Ea,004,https://n5eil01u.ecs.nsidc.org/ICEBRIDGE/IR1HI1B.001/2009.01.11/IR1HI1B_2009011_ASB_JKB1a_R21Ea_004.nc
